"","final_title","final_hit","filter_url","contentlist"
"1","펌) N번방에 실수로 비트코인을 보냈어요.. 어뜨카죠?","17","https://www.clien.net/service/board/park/14749797?od=T31&po=0&category=&groupCd=community","               걸린놈들 판사 앞에서 어떤 변명을 할른지 눈에 훤히 보이는군요.   "
"2","부산 확진자-47, 완치 후 인터뷰.utb","21","https://www.clien.net/service/board/park/14749796?od=T31&po=0&category=&groupCd=community","                출처: 부산MBC      부산대 교수님이라고 하시네요.   독감 따위와는 차원이 달랐다고 합니다.   "
"3","오늘도 개인이 삼전 사는군요.","60","https://www.clien.net/service/board/park/14749795?od=T31&po=0&category=&groupCd=community","      기관과 외국인 던지고...      개인이 받고      우리 코스피 개인ㄷ.ㄹ이 다 사네요.      "
"4","강남구청 긴급문자가 이상하네요","450","https://www.clien.net/service/board/park/14749793?od=T31&po=0&category=&groupCd=community","      왜 굳이 ""또"" 를 붙이는 걸까요   "
"5","아침부터 체리블라썸이니 민트초코니 하는거보니 불쾌하네요","154","https://www.clien.net/service/board/park/14749792?od=T31&po=0&category=&groupCd=community","      피스타치오로 힐링하고 가세요   "
"6","갑자기 마스크 껴도 페이스아이디가 되네요 ㄷㄷ","519","https://www.clien.net/service/board/park/14749789?od=T31&po=0&category=&groupCd=community","      오늘 아침만해도 안됐는데 갑자기 열립니다.      어? 하고 다시 해봤는데 또 됩니다.      계속 학습을 통해 얼굴 모델을 개선한다고 하던데마스크 낀 제 얼굴을 학습했나 봐요.   "
"7","정봉주, 열린민주당 비례후보 프로필 촬영 현장 난입","1564","https://www.clien.net/service/board/park/14749788?od=T31&po=0&category=&groupCd=community","            ""나도 한장만 찍어줘 ㅠ"" 시전...   감독이 짠...해서 찍어 줬다고...      아 짠하다~   "
"8","대구시, 지원 자금 언제?..'업무 바빠 총선 이후로'","421","https://www.clien.net/service/board/park/14749785?od=T31&po=0&category=&groupCd=community","      코로타 19로 직격탄을 맞은 대구시가 경제 회복을 위해 3천억 원 규모의 긴급 생계 자금 지원에 나서기로 했는데요.      문제는 이 돈을 총선 이후에 주기로 해 논란이 되고 있습니다.      어찌된 사연인지, 윤태호 기자가 취재했습니다.               다른 곳들은 다 신속하게 주겠다는데      대구시만 거북이네요ㅠㅠ      세 모녀 가족의 비극을 잊었단 말인가ㅠㅠ   "
"9","일본 코로나 감염의 수치가 정직한거라면...","568","https://www.clien.net/service/board/park/14749784?od=T31&po=0&category=&groupCd=community","      원인은 단 하나 방사능이 아닐까요   그렇게들 화강암을 산이유가 있네요   "
"10","마스크를 쓰는 것만으로 '전국민 60% 감염 판데믹종식'의 효과를 대치할수있습니다","1359","https://www.clien.net/service/board/park/14749783?od=T31&po=0&category=&groupCd=community","      언론에서 전국민 60%가 걸려야 판데믹이 종식될 수있다고 하는데요   이게 바이러스 전파의 도미노효과를 무너뜨린다는 거죠   즉 전국민 60%가 면역력을 가지면 중간 중간 감염의 사슬이 끊어지기 때문에   바이러스가 더이상 퍼지지 못한다는 이론인데   이게 마스크를 써도 같은 효과가 나올겁니다   즉 바이러스에 감염되도 마스크를 쓴 자가 주변에 있으면 감염의 사슬이 끊어지기 때문에   전국민 100%의 마스크착용은 바이러스창궐의 종식이 되는 겁니다.   무조건 마스크 착용만이 답입니다.   "
